area_id;type;id;full_name
180000;b;180302;Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
180000;m;180302;Энерго- и ресурсосберегающие процессы в химической технологии, нефтехимии и биотехнологии
180000;s;180501;Химическая технология энергонасыщенных материалов современной энергетики
180000;s;180502;Химическая технология материалов современной энергетики
180000;ap;180601;Химические технологии
190000;b;190301;Биотехнология
190000;m;190301;Биотехнология
190000;b;190302;Продукты питания из растительного сырья
190000;m;190302;Продукты питания из растительного сырья
190000;b;190303;Продукты питания животного происхождения
190000;m;190303;Продукты питания животного происхождения
190000;b;190304;Технология продукции и организация общественного питания
190000;m;190304;Технология продукции и организация общественного питания
190000;ap;190601;Промышленная экология и биотехнологии
200000;b;200301;Техносферная безопасность
200000;m;200301;Техносферная безопасность
200000;b;200302;Природообустройство и водопользование
200000;m;200302;Природообустройство и водопользование
200000;s;200501;Пожарная безопасность
200000;ap;200601;Техносферная безопасность
210000;b;210301;Нефтегазовое дело
210000;m;210301;Нефтегазовое дело
210000;b;210302;Землеустройство и кадастры
210000;m;210302;Землеустройство и кадастры
210000;b;210303;Геодезия и дистанционное зондирование
210000;m;210303;Геодезия и дистанционное зондирование
210000;s;210501;Прикладная геодезия
210000;s;210502;Прикладная геология
210000;s;210503;Технология геологической разведки
210000;s;210504;Горное дело
210000;s;210505;Физические процессы горного или нефтегазового производства
210000;s;210506;Нефтегазовые техника и технологии
210000;ap;210601;Геология, разведка и разработка полезных ископаемых
210000;ap;210602;Геодезия
220000;b;220301;Материаловедение и технологии материалов
220000;m;220301;Материаловедение и технологии материалов
220000;b;220302;Металлургия
220000;m;220302;Металлургия
220000;ap;220601;Технологии материалов
230000;b;230301;Технология транспортных процессов
230000;m;230301;Технология транспортных процессов
230000;b;230302;Наземные транспортно-технологические комплексы
230000;m;230302;Наземные транспортно-технологические комплексы
230000;b;230303;Эксплуатация транспортно-технологических машин и комплексов
230000;m;230303;Эксплуатация транспортно-технологических машин и комплексов
230000;s;230501;Наземные транспортно-технологические средства
230000;s;230502;Транспортные средства специального назначения
230000;s;230503;Подвижной состав железных дорог
230000;s;230504;Эксплуатация железных дорог
230000;s;230505;Системы обеспечения движения поездов
230000;s;230506;Строительство железных дорог, мостов и тоннелей
230000;ap;230601;Техника и технологии наземного транспорта
240000;b;240301;Ракетные комплексы и космонавтика
240000;m;240301;Ракетные комплексы и космонавтика
240000;b;240302;Системы управления движением и навигация
240000;m;240302;Системы управления движением и навигация
240000;b;240303;Баллистика и гидроаэродинамика
240000;m;240303;Баллистика и гидроаэродинамика
240000;b;240304;Авиастроение
240000;m;240304;Авиастроение
240000;b;240305;Двигатели летательных аппаратов
240000;m;240305;Двигатели летательных аппаратов
240000;s;240501;Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов
240000;s;240502;Проектирование авиационных и ракетных двигателей
240000;s;240503;Испытание летательных аппаратов
240000;s;240504;Навигационно-баллистичесое обеспечение применения космической техники
240000;s;240505;Интегрированные системы летательных аппаратов
240000;s;240506;Системы управления летательными аппаратами
240000;s;240507;Самолето- и вертолетостроение
240000;ap;240601;"	Авиационная и ракетно-космическая техника "
250000;b;250301;Техническая эксплуатация летательных аппаратов и двигателей
250000;m;250301;Техническая эксплуатация летательных аппаратов и двигателей
250000;b;250302;Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
250000;m;250302;Техническая эксплуатация авиационных электросистем и пилотажно-навигационных комплексов
250000;s;250501;Техническая эксплуатация и восстановление боевых летательных аппаратов и двигателей
